"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","user下的登录模块","登录成功","4","0","0","0","0"
"","user下的获取用户信息","获取用户信息","2","0","0","0","0"
"","登录用户模块","密码错误","0","0","1","0","0"
"","修改密码模块","修改密码成功","0","1","0","0","0"
"","登录用户模块","用户名不存在","0","0","1","0","0"
"","注册-登录-列表判断id-获取用户信息模块","注册","1","0","0","0","0"
"","user下的加载用户列表","加载用户列表","2","0","0","0","0"
"","登录用户模块","密码为空","0","0","1","0","0"
"","登录用户模块","用户名为空","0","0","1","0","0"
"","登录用户模块","用户名密码都正确","0","0","1","0","0"
"","登录用户模块","用户名15位","0","0","1","0","0"
